,n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean
0,1,4.062085720102084e-17,0.6759517979986088,4.311303490544309,4.453229398663697
1,2,4.0336610058307495e-17,1.0252424983672652,4.527531115904191,5.119078104993598
2,3,4.665685955128833e-17,1.3001401793993765,4.380787064466878,5.6671388101983
3,4,5.4144641078181885e-17,1.4211412592561061,4.517291713250139,5.752517985611511
4,5,6.415659720117354e-17,1.8057202514371062,4.8024829419246196,6.253125
5,6,9.206591880229027e-17,1.9695801662862218,4.4220409844129325,6.438003220611916
6,7,6.043289938326784e-17,2.075562344362803,3.9859435603874163,6.525285481239805
7,8,7.503852186394473e-17,2.2858029399442117,4.552405703537441,6.674457429048414
8,9,9.737882531636106e-17,2.430569856580713,4.571012163079746,6.819420783645656
9,10,4.2793940643531194e-13,2.456379050562913,4.357774876418632,6.7272727272727275
10,11,6.850746479438122e-16,2.5818607465372874,4.727687819133451,6.784745762711864
11,12,2.0612734801620626e-16,2.643160965975346,4.713442237394435,6.8493150684931505
12,13,1.1872698443422988e-16,2.788378939465859,4.719989102667944,6.867697594501718
13,14,1.0491140705464253e-16,2.876730686807813,5.129274300603988,6.882960413080895
14,15,0.28388896594566865,2.9341400411113776,4.811467584149719,6.927209705372617
15,16,0.04689853033899133,2.998404927347703,4.934591999036097,6.9342560553633215
16,17,0.30477004349914705,3.0261332479415035,5.392399887051476,6.947826086956522
17,18,0.05898382240067144,3.14156425248246,5.448558258526495,6.944444444444445
18,19,0.7730915541959734,3.2012858362847054,5.105892903797074,6.951388888888889
19,20,0.43840923749479055,3.351179697758652,5.3845740147849845,6.951388888888889
20,21,0.9288239567649884,3.443839514842122,5.727329533119991,6.984265734265734
21,22,1.156281612251761,3.523094671580958,5.509714893145626,6.963414634146342
22,23,1.1118170861835988,3.615316214597442,5.454864862426409,6.977351916376307
23,24,1.250696276694402,3.70924423746778,5.7055946057597975,6.989492119089317
24,25,0.02630517177504638,3.764606755429692,5.872928359666244,6.986038394415358
25,26,0.43801663237359845,3.932467403556574,5.754496000962266,6.991273996509599
26,27,1.3996744567534214,4.031487488224662,5.869565333334662,6.996503496503497
27,28,0.15631128529088698,4.02505325531596,5.622866485880673,6.9859894921190895
28,29,1.4288335796146854,4.1664504870129155,5.8643893517529415,7.0
29,30,0.286824757414336,4.27605446071348,6.073732543073857,6.986038394415358
30,31,1.9284044832983451,4.439184764900178,5.904464948693258,7.0
31,32,1.6698359441301325,4.583884609431072,5.929332416221305,7.0
32,33,0.3764542281865946,4.5960314737641195,5.9389039250908295,6.991258741258742
33,34,2.2064952933977966,4.722354820925571,6.010157372422991,7.0
34,35,2.385707460261701,4.896739690022337,6.043207361400023,7.0
35,36,2.8655917159346327,4.941282137441405,6.13360770015723,7.0
36,37,2.939115261537108,5.055072397638963,6.140567174974693,7.0
37,38,3.139505603144636,5.123659707101676,6.039380147789146,7.0
38,39,2.3527992100725674,5.169739108568041,6.053706457886658,7.0
39,40,2.4386742803077834,5.200188047259771,6.135927716455687,7.0
40,41,2.958584271906018,5.34121533488265,6.06252720437305,7.0
41,42,2.8429267171228596,5.322064781300353,6.108661783591373,7.0
42,43,2.7888405816768937,5.411838581276467,6.21261658622733,7.0
43,44,3.50473720208583,5.433721382938693,6.094108464016575,7.0
44,45,3.829796742581358,5.5070114158340315,6.108677922235127,7.0
45,46,3.5382172569278967,5.5655901392893705,6.178330951502755,7.0
46,47,3.975063069897108,5.578132995792613,6.152185173231773,7.0
47,48,4.010253840449557,5.6190239600116545,6.134433225607971,7.0
48,49,4.333565175433768,5.680461448697586,6.178633552967359,7.0
49,50,4.163644179980776,5.703934817240983,6.152956571825675,7.0
